startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,HKTimeZone,HKWeatherTemperature,HKAverageMETs,HKWeatherHumidity
2021-07-16 11:38:17 +0000,2021-07-16 13:17:13 +0000,TraditionalStrengthTraining,5936.049205,sec,1176.04 kcal,,America/New_York,73.4 degF,9.52341,8900
2021-07-17 19:41:04 +0000,2021-07-17 19:53:39 +0000,TraditionalStrengthTraining,754.543364,sec,92.6578 kcal,,America/New_York,89.6 degF,4.71158,5100
2021-07-21 15:14:09 +0000,2021-07-21 16:22:05 +0000,TraditionalStrengthTraining,4076.038904,sec,750.62 kcal,,America/New_York,82.4 degF,8.59185,6000
2021-07-22 21:25:28 +0000,2021-07-22 22:36:47 +0000,TraditionalStrengthTraining,4279.442288,sec,796.551 kcal,,America/New_York,82.4 degF,8.80451,4800
2021-07-23 11:01:14 +0000,2021-07-23 12:19:23 +0000,TraditionalStrengthTraining,4688.754084,sec,1017.52 kcal,,America/New_York,64.4 degF,10.3455,9500
2021-07-25 19:16:38 +0000,2021-07-25 20:06:30 +0000,TraditionalStrengthTraining,2992.059348,sec,445.903 kcal,,America/New_York,87.8 degF,6.74087,5900
2021-07-28 20:11:14 +0000,2021-07-28 21:10:17 +0000,TraditionalStrengthTraining,3543.140628,sec,879.387 kcal,,America/New_York,89.6 degF,11.8868,4300
2021-08-08 15:06:49 +0000,2021-08-08 16:12:02 +0000,TraditionalStrengthTraining,3912.815149,sec,820.464 kcal,,America/New_York,78.8 degF,10.1513,6100
2021-08-09 17:46:36 +0000,2021-08-09 18:48:35 +0000,TraditionalStrengthTraining,3718.892823,sec,784.427 kcal,,America/New_York,84.2 degF,10.184,5800
2021-08-10 14:07:46 +0000,2021-08-10 15:07:40 +0000,TraditionalStrengthTraining,3593.723208,sec,746.455 kcal,,America/New_York,78.8 degF,10.1565,7900
2021-08-11 17:12:44 +0000,2021-08-11 18:26:47 +0000,TraditionalStrengthTraining,4443.530959,sec,752.324 kcal,,America/New_York,91.4 degF,7.87955,5300
2021-08-12 14:10:02 +0000,2021-08-12 14:48:16 +0000,TraditionalStrengthTraining,2294.162541,sec,418.456 kcal,,America/New_York,82.4 degF,8.68946,6800
2021-08-17 00:48:04 +0000,2021-08-17 01:20:43 +0000,TraditionalStrengthTraining,1958.06953,sec,425.501 kcal,,America/New_York,75.2 degF,10.5471,9400
2021-08-20 21:45:44 +0000,2021-08-20 23:01:25 +0000,TraditionalStrengthTraining,4541.394449,sec,689.202 kcal,,America/New_York,78.8 degF,7.08942,8800
2021-08-23 12:50:59 +0000,2021-08-23 13:41:35 +0000,TraditionalStrengthTraining,3036.516186,sec,577.735 kcal,,America/New_York,77 degF,8.86604,8500
2021-08-30 12:46:06 +0000,2021-08-30 13:29:10 +0000,TraditionalStrengthTraining,2583.059771,sec,466.983 kcal,,America/New_York,80.6 degF,8.40642,7600
2021-09-24 13:28:23 +0000,2021-09-24 14:30:26 +0000,TraditionalStrengthTraining,3722.252206,sec,837.725 kcal,,America/New_York,62.6 degF,10.7403,6200
2021-09-30 11:24:38 +0000,2021-09-30 12:22:56 +0000,TraditionalStrengthTraining,3497.859829,sec,799.971 kcal,,America/New_York,64.4 degF,10.9541,8600
2021-10-04 19:01:50 +0000,2021-10-04 19:56:13 +0000,TraditionalStrengthTraining,3263.748765,sec,862.946 kcal,,America/New_York,84.2 degF,12.6122,4900
2021-10-05 18:24:01 +0000,2021-10-05 19:00:23 +0000,TraditionalStrengthTraining,2182.613299,sec,408.125 kcal,,America/New_York,82.4 degF,8.8446,5800
2021-10-08 13:58:53 +0000,2021-10-08 14:50:06 +0000,TraditionalStrengthTraining,3072.709506,sec,655.296 kcal,,America/New_York,69.8 degF,10.2071,9000
2021-10-12 01:27:01 +0000,2021-10-12 01:51:17 +0000,TraditionalStrengthTraining,1455.460281,sec,292.424 kcal,,America/New_York,69.8 degF,9.66003,8100
2021-10-13 12:43:54 +0000,2021-10-13 13:29:18 +0000,TraditionalStrengthTraining,2724.230821,sec,507.662 kcal,,America/New_York,62.6 degF,8.67346,8900
2021-10-18 13:12:59 +0000,2021-10-18 13:49:10 +0000,TraditionalStrengthTraining,2171.565635,sec,422.95 kcal,,America/New_York,57.2 degF,9.05215,6100
2021-10-21 12:47:27 +0000,2021-10-21 13:26:37 +0000,TraditionalStrengthTraining,2349.990061,sec,329.341 kcal,,America/New_York,55.4 degF,6.17296,8300
2021-10-22 18:25:21 +0000,2021-10-22 19:44:27 +0000,TraditionalStrengthTraining,4746.142037,sec,1057.28 kcal,,America/New_York,75.2 degF,10.5928,6200
2021-10-23 21:12:13 +0000,2021-10-23 21:45:04 +0000,TraditionalStrengthTraining,1970.902316,sec,450.179 kcal,,America/New_York,71.6 degF,10.9254,4300
2021-10-24 19:24:01 +0000,2021-10-24 20:42:19 +0000,TraditionalStrengthTraining,4697.877296,sec,868.863 kcal,,America/New_York,77 degF,8.60518,4300
2021-11-03 12:11:33 +0000,2021-11-03 13:02:18 +0000,TraditionalStrengthTraining,3044.847368,sec,603.498 kcal,,America/New_York,46.4 degF,9.27817,8400
